Tag,Label,Index Category,Index value
#1,1,,1
#17line,17 line,,17 line
#1line,1 line,,1 line
#1o,1 o,,1 o
#2line,2 line,,2 line
#34,34,,34
#35,35,,35
#3line,3 line,,3 line
#3lines,3 lines,,3 lines
#4line,4 line,,4 line
#4lines,4 lines,,4 lines
#5line,5 line,codicological_feature_t,5 line
#6line,6 line,codicological_feature_t,6 line
#7line,7 line ,codicological_feature_t,7 line 
#8line,8 line,codicological_feature_t,8 line
#a,a,letter_form_t,a
#adam,Adam,subjects_and_themes_t,Adam
#adamandeve,Adam and Eve,subjects_and_themes_t,Adam and Eve
#adamandeve,Adam and Eve,subjects_and_themes_t,Adam
#adamandeve,Adam and Eve,subjects_and_themes_t,Eve
#adorationofthemagi,adoration of the magi,subjects_and_themes_t,adoration of the magi
#advent,advent,subjects_and_themes_t,advent
#agatha,agatha,subjects_and_themes_t,agatha
#allsaints,allsaints,subjects_and_themes_t,allsaints
#andrew,andrew,subjects_and_themes_t,andrew
#angel,angel,subjects_and_themes_t,angel
#anne,anne,subjects_and_themes_t,anne
#annotation,annotation,,annotation
#annunciation,annunciation,subjects_and_themes_t,annunciation
#anthony,anthony,subjects_and_themes_t,anthony
#armachristi,armachristi,subjects_and_themes_t,arma christi
#ascension,ascension,subjects_and_themes_t,ascension
#augustine,augustine,subjects_and_themes_t,augustine
#b,b,letter_form_t,b
#bandborder,band border,,band border
#barbara,barbara,subjects_and_themes_t,barbara
#barnabus,barnabus,subjects_and_themes_t,barnabus
#bartholomew,bartholomew,subjects_and_themes_t,bartholomew
#bede,bede,subjects_and_themes_t,bede
#betrayal,betrayal,subjects_and_themes_t,betrayal
#blessedtrinity,blessed trinity,subjects_and_themes_t,blessed trinity
#blue,blue,codicological_color_t,blue
#border_full,full border,,full border
#c,c,letter_form_t,c
#carryingcross,carrying cross,subjects_and_themes_t,carrying cross
#catchword,catchword(s),,catchword(s)
#catherine,catherine,subjects_and_themes_t,catherine
#cecilia,cecilia,subjects_and_themes_t,cecilia
#champ,champ initial,,champ initial
#chantingoffice,chanting office,subjects_and_themes_t,chanting office
#christinmajesty,christ in majesty,subjects_and_themes_t,christ in majesty
#christopher,christopher,subjects_and_themes_t,christopher
#collect,collect,text_t,collect
#commendation,commendation,text_t,commendation
#commendationofsouls,commendation of souls,text_t,commendation of souls
#correction,correction,,correction
#crucifixion,crucifixion,subjects_and_themes_t,crucifixion
#D,D,letter_form_t,D
#d,d,letter_form_t,d
#david,david,subjects_and_themes_t,david
#deposition,deposition,subjects_and_themes_t,deposition
#different,different,,different
#displayscript,display script,,display script
#doubtingthomas,doubting thomas,subjects_and_themes_t,doubting thomas
#e,e,letter_form_t,e
#edmund,edmund,figure_t,edmund
#entombment,entombment,subjects_and_themes_t,entombment
#f,f,letter_form_t,f
#fifteenoes,fifteenoes,text_t,fifteenoes
#flagellation,flagellation,subjects_and_themes_t,flagellation
#flourishing,flourishing,,flourishing
#flourishing_blue,,codicological_color_t,blue
#flourishing_blue,blue flourishing,decoration_t,blue flourishing
#flourishing_blue,,decoration_t,flourishing
#flourishing_green,,codicological_color_t,green
#flourishing_green,green flourishing,decoration_t,green flourishing
#flourishing_green,,decoration_t,flourishing
#flourishing_missing,missing flourishing,decoration_t,missing
#flourishing_missing,,decoration_t,flourishing
#flourishing_missing,,,missing
#flourishing_red,,codicological_color_t,red
#flourishing_red,red flourishing,decoration_t,red flourishing
#flourishing_red,,decoration_t,flourishing
#flourshing_red,flourshing red,,flourshing red
#floursihing_green,floursihing green,,floursihing green
#floursihing_red,floursihing red,,floursihing red
#francis,francis,subjects_and_themes_t,francis
#fullpage,fullpage,decoration_t,fullpage
#funeralprocession,funeralprocession,subjects_and_themes_t,funeral procession
#george,George,subjects_and_themes_t,George
#gloldleaf,gloldleaf,,gloldleaf
#gold,gold,codicological_color_t,gold
#goldleaf,,codicological_color_t,gold
#goldleaf,gold leaf,decoration_t,gold leaf
#ground_gold,,codicological_color_t,gold
#ground_gold,gold ground,decoration_t,gold ground
#ground_gold,,decoration_t,ground
#h,h,letter_form_t,h
#halfpage,halfpage,decoration_t,halfpage
#harrowing,harrowing,subjects_and_themes_t,harrowing
#headofchrist,headofchrist,subjects_and_themes_t,head of christ
#helen,helen,subjects_and_themes_t,helen
#histogram,histogram,,histogram
#historiated,historiated,decoration_t,historiated
#holycross,holycross,,holycross
#holyspirit,holyspirit,,holyspirit
#hourscross_compline,hours cross compline,text_t,hours of the cross
#hourscross_compline,hours cross compline,text_t,hours of the cross compline
#hourscross_matins,hours cross matins,text_t,hours of the cross
#hourscross_matins,hours cross matins,text_t,hours of the cross matins
#hourscross_none,hours cross none,text_t,hours of the cross
#hourscross_none,hours cross none,text_t,hours of the cross none
#hourscross_prime,hours cross prime,text_t,hours of the cross
#hourscross_prime,hours cross prime,text_t,hours of the cross prime
#hourscross_sext,hours cross sext,text_t,hours of the cross
#hourscross_sext,hours cross sext,text_t,hours of the cross sext
#hourscross_terce,hours cross terce,text_t,hours of the cross
#hourscross_terce,hours cross terce,text_t,hours of the cross terce
#hourscross_vespers,hours cross vespers,text_t,hours of the cross
#hourscross_vespers,hours cross vespers,text_t,hours of the cross vespers
#hourscrucified,hours crucified,text_t,hours of christ crucified
#hourscrucified_compline,hours crucified compline,text_t,hours of christ crucified
