Tag,Label,Index Category,Index value
#1,1,,1
#17line,17 line,,17 line
#1line,1 line,,1 line
#1o,1 o,,1 o
#2line,2 line,,2 line
#34,34,,34
#35,35,,35
#3line,3 line,,3 line
#3lines,3 lines,,3 lines
#4line,4 line,,4 line
#4lines,4 lines,,4 lines
#5line,5 line,,5 line
#6line,6 line,,6 line
#7line,7 line ,,7 line 
#8line,8 line,,8 line
#D,D,letter_form_t,D
#I,I,letter_form_t,I
#L,L,letter_form_t,L
#O,O,letter_form_t,O
#T,T,letter_form_t,T
#a,a,letter_form_t,a
#adam,Adam,decoration_t,Adam
#adamandeve,Adam and Eve,decoration_t,Adam and Eve
#adamandeve,,decoration_t,Adam
#adamandeve,,decoration_t,Eve
#adorationofthemagi,adorationofthemagi,,adorationofthemagi
#advent,advent,,advent
#agatha,agatha,,agatha
#allsaints,allsaints,,allsaints
#andrew,andrew,,andrew
#angel,angel,,angel
#anne,anne,,anne
#annotation,annotation,,annotation
#annunciation,annunciation,,annunciation
#anthony,anthony,,anthony
#armachristi,armachristi,,armachristi
#ascension,ascension,,ascension
#augustine,augustine,,augustine
#b,b,letter_form_t,b
#bandborder,band border,,band border
#barbara,barbara,,barbara
#barnabus,barnabus,,barnabus
#bartholomew,bartholomew,,bartholomew
#bede,bede,,bede
#betrayal,betrayal,,betrayal
#blessedtrinity,blessedtrinity,,blessedtrinity
#blue,blue,codicological_color_t,blue
#border_full,border full,,border full
#c,c,letter_form_t,c
#carryingcross,carryingcross,,carryingcross
#catchword,catchword,,catchword
#catherine,catherine,,catherine
#cecilia,cecilia,,cecilia
#champ,champ,,champ
#chantingoffice,chantingoffice,,chantingoffice
#christinmajesty,christinmajesty,,christinmajesty
#christopher,christopher,,christopher
#commendation,commendation,,commendation
#commendationofsouls,commendationofsouls,,commendationofsouls
#correction,correction,,correction
#crucifixion,crucifixion,,crucifixion
#d,d,letter_form_t,d
#david,david,,david
#deposition,deposition,,deposition
#different,different,,different
#displayscript,displayscript,,displayscript
#doubtingthomas,doubtingthomas,,doubtingthomas
#e,e,letter_form_t,e
#edmund,edmund,,edmund
#entombment,entombment,,entombment
#f,f,letter_form_t,f
#fifteenoes,fifteenoes,,fifteenoes
#flagellation,flagellation,,flagellation
#flourishing,flourishing,,flourishing
#flourishing_blue,flourishing blue,,flourishing blue
#flourishing_green,flourishing green,,flourishing green
#flourishing_missing,flourishing missing,,flourishing missing
#flourishing_red,flourishing red,,flourishing red
#flourshing_red,flourshing red,,flourshing red
#floursihing_green,floursihing green,,floursihing green
#floursihing_red,floursihing red,,floursihing red
#francis,francis,,francis
#fullpage,fullpage,,fullpage
#funeralprocession,funeralprocession,,funeralprocession
#george,George,decoration_t,George
#gloldleaf,gloldleaf,,gloldleaf
#gold,gold,,gold
#goldleaf,goldleaf,,goldleaf
#ground_gold,ground gold,,ground gold
#h,h,letter_form_t,h
#halfpage,halfpage,,halfpage
#harrowing,harrowing,,harrowing
#headofchrist,headofchrist,,headofchrist
#helen,helen,,helen
#histogram,histogram,,histogram
#historiated,historiated,,historiated
#holycross,holycross,,holycross
#holyspirit,holyspirit,,holyspirit
#hourscross_compline,hourscross compline,,hourscross compline
#hourscross_matins,hourscross matins,,hourscross matins
#hourscross_none,hourscross none,,hourscross none
#hourscross_prime,hourscross prime,,hourscross prime
#hourscross_sext,hourscross sext,,hourscross sext
#hourscross_terce,hourscross terce,,hourscross terce
#hourscross_vespers,hourscross vespers,,hourscross vespers
#hourscrucified,hourscrucified,,hourscrucified
#hourscrucified_compline,hourscrucified compline,,hourscrucified compline
#hourscrucified_lauds,hourscrucified lauds,,hourscrucified lauds
#hourscrucified_matins,hourscrucified matins,,hourscrucified matins
#hourscrucified_none,hourscrucified none,,hourscrucified none
#hourscrucified_prime,hourscrucified prime,,hourscrucified prime
#hourscrucified_sext,hourscrucified sext,,hourscrucified sext
#hourscrucified_terce,hourscrucified terce,,hourscrucified terce
#hoursholyspirit_compline,hoursholyspirit compline,,hoursholyspirit compline
#hoursholyspirit_matins,hoursholyspirit matins,,hoursholyspirit matins
#hoursholyspirit_none,hoursholyspirit none,,hoursholyspirit none
#hoursholyspirit_vespers,hoursholyspirit vespers,,hoursholyspirit vespers
#hoursspirit_compline,hoursspirit compline,,hoursspirit compline
#hoursspirit_lauds,hoursspirit lauds,,hoursspirit lauds
#hoursspirit_matins,hoursspirit matins,,hoursspirit matins
#hoursspirit_none,hoursspirit none,,hoursspirit none
#hoursspirit_prime,hoursspirit prime,,hoursspirit prime
#hoursspirit_sext,hoursspirit sext,,hoursspirit sext
#hoursspirit_terce,hoursspirit terce,,hoursspirit terce
#hoursspirit_vespers,hoursspirit vespers,,hoursspirit vespers
#hoursvirgin_compline,hoursvirgin compline,,hoursvirgin compline
#hoursvirgin_lauds,hoursvirgin lauds,,hoursvirgin lauds
#hoursvirgin_matins,hoursvirgin matins,,hoursvirgin matins
#hoursvirgin_none,hoursvirgin none,,hoursvirgin none
#hoursvirgin_prime,hoursvirgin prime,,hoursvirgin prime
#hoursvirgin_sext,hoursvirgin sext,,hoursvirgin sext
#hoursvirgin_terce,hoursvirgin terce,,hoursvirgin terce
#hoursvirgin_vespers,hoursvirgin vespers,,hoursvirgin vespers
#hymn,hymn,,hymn
#i,i,letter_form_t,i
#illuminated,illuminated,,illuminated
